Zeit	Temperatur T1	Temperatur T2	Temperatur T3	Temperatur T4
50.00	-17.52	17.71	-18.99	14.48
51.00	-17.53	17.67	-19.00	14.43
52.00	-17.54	17.60	-19.00	14.37
53.00	-17.54	17.55	-19.00	14.31
54.00	-17.53	17.44	-19.01	14.24
55.00	-17.55	17.41	-18.99	14.21
56.00	-17.56	17.31	-19.02	14.13
57.00	-17.54	17.28	-19.01	14.08
58.00	-17.55	17.18	-18.99	13.98
59.00	-17.55	17.13	-19.01	13.93
60.00	-17.55	17.05	-19.00	13.86
61.00	-17.56	17.02	-19.00	13.82
62.00	-17.56	16.95	-19.00	13.76
63.00	-17.56	16.89	-19.02	13.71
64.00	-17.56	16.86	-19.01	13.69
65.00	-17.56	16.80	-19.02	13.63
66.00	-17.56	16.76	-19.02	13.60
67.00	-17.56	16.67	-19.01	13.52
68.00	-17.57	16.63	-19.01	13.48
69.00	-17.57	16.56	-19.02	13.46
70.00	-17.56	16.51	-19.02	13.44
71.00	-17.57	16.42	-19.02	13.38
72.00	-17.57	16.37	-19.01	13.37
73.00	-17.57	16.30	-19.01	13.30
74.00	-17.58	16.27	-19.02	13.28
75.00	-17.58	16.20	-19.01	13.23
76.00	-17.57	16.17	-19.02	13.20
77.00	-17.58	16.12	-19.02	13.13
78.00	-17.59	16.08	-19.02	13.10
79.00	-17.59	16.00	-19.03	13.02
80.00	-17.59	15.97	-19.03	12.88
81.00	-17.59	15.90	-19.03	12.70
82.00	-17.59	15.87	-19.02	12.71
83.00	-17.59	15.77	-19.02	12.65
84.00	-17.59	15.75	-19.03	12.64
85.00	-17.59	15.67	-19.03	12.65
86.00	-17.59	15.59	-19.03	12.63
87.00	-17.60	15.53	-19.03	12.59
88.00	-17.60	15.47	-19.02	12.56
89.00	-17.61	15.43	-19.03	12.51
90.00	-17.60	15.37	-19.01	12.45
91.00	-17.60	15.34	-19.02	12.44
92.00	-17.61	15.29	-19.04	12.38
93.00	-17.61	15.25	-19.03	12.37
94.00	-17.61	15.17	-19.03	12.32
95.00	-17.61	15.15	-19.04	12.29
96.00	-17.61	15.08	-19.03	12.25
97.00	-17.62	15.04	-19.03	12.22
98.00	-17.62	14.93	-19.03	12.16
99.00	-17.62	14.90	-19.03	12.14
100.00	-17.63	14.82	-19.03	12.09
101.00	-17.63	14.79	-19.03	12.07
102.00	-17.63	14.73	-19.03	12.03
103.00	-17.63	14.69	-19.03	11.99
104.00	-17.64	14.63	-19.03	11.94
105.00	-17.63	14.60	-19.03	11.93
106.00	-17.64	14.53	-19.03	11.85
107.00	-17.63	14.47	-19.02	11.83
108.00	-17.63	14.42	-19.03	11.79
109.00	-17.63	14.37	-19.03	11.78
110.00	-17.65	14.30	-19.03	11.74
111.00	-17.65	14.27	-19.03	11.72
112.00	-17.65	14.21	-19.02	11.65
113.00	-17.64	14.14	-19.02	11.62
114.00	-17.64	14.11	-19.02	11.61
115.00	-17.64	14.04	-19.04	11.57
116.00	-17.64	13.99	-19.02	11.55
117.00	-17.65	13.92	-19.04	11.49
118.00	-17.65	13.89	-19.03	11.44
119.00	-17.66	13.80	-19.02	11.34
120.00	-17.66	13.77	-19.03	11.31
121.00	-17.67	13.70	-19.02	11.26
122.00	-17.65	13.65	-19.01	11.23
123.00	-17.66	13.56	-19.02	11.19
124.00	-17.67	13.54	-19.02	11.18
125.00	-17.67	13.49	-19.00	11.12
126.00	-17.67	13.44	-19.00	11.12
127.00	-17.69	13.36	-19.00	11.05
128.00	-17.68	13.29	-19.00	11.03
129.00	-17.69	13.13	-18.99	10.98
130.00	-17.69	13.07	-18.98	10.95
131.00	-17.70	13.00	-18.98	10.90
132.00	-17.69	12.95	-18.98	10.88
133.00	-17.69	12.90	-18.97	10.85
134.00	-17.70	12.90	-18.97	10.82
135.00	-17.70	12.88	-18.96	10.78
136.00	-17.70	12.88	-18.97	10.74
137.00	-17.70	12.85	-18.95	10.53
138.00	-17.71	12.82	-18.95	10.52
139.00	-17.70	12.75	-18.94	10.53
140.00	-17.71	12.70	-18.94	10.50
141.00	-17.73	12.65	-18.93	10.49
142.00	-17.72	12.55	-18.93	10.45
143.00	-17.72	12.47	-18.92	10.43
144.00	-17.72	12.41	-18.90	10.41
145.00	-17.73	12.39	-18.90	10.38
146.00	-17.73	12.31	-18.90	10.35
147.00	-17.73	12.29	-18.91	10.34
148.00	-17.73	12.26	-18.90	10.28
149.00	-17.73	12.25	-18.89	10.26
150.00	-17.73	12.20	-18.90	10.23
151.00	-17.74	12.17	-18.89	10.20
152.00	-17.74	12.10	-18.89	10.15
153.00	-17.73	12.07	-18.89	10.13
154.00	-17.73	12.00	-18.89	10.07
155.00	-17.75	11.95	-18.89	10.04
156.00	-17.76	11.84	-18.89	10.00
157.00	-17.75	11.76	-18.88	9.96
158.00	-17.75	11.64	-18.88	9.91
159.00	-17.76	11.60	-18.88	9.88
160.00	-17.75	11.40	-18.88	9.86
161.00	-17.75	11.24	-18.88	9.84
162.00	-17.76	10.88	-18.87	9.79
163.00	-17.75	10.75	-18.87	9.73
164.00	-17.76	10.70	-18.88	9.69
165.00	-17.76	10.50	-18.87	9.65
166.00	-17.75	10.33	-18.88	9.61
167.00	-17.78	10.15	-18.87	9.56
168.00	-17.77	10.24	-18.87	9.54
169.00	-17.77	10.30	-18.86	9.49
170.00	-17.77	10.31	-18.87	9.46
171.00	-17.78	10.40	-18.87	9.41
172.00	-17.77	10.32	-18.86	9.37
173.00	-17.78	10.40	-18.88	9.32
174.00	-17.77	10.57	-18.86	9.29
175.00	-17.78	10.81	-18.85	9.25
176.00	-17.78	10.87	-18.86	9.23
177.00	-17.77	10.92	-18.87	9.19
178.00	-17.78	10.92	-18.86	9.17
179.00	-17.78	10.88	-18.86	9.11
180.00	-17.79	10.86	-18.87	9.08
181.00	-17.78	10.82	-18.86	9.00
182.00	-17.79	10.75	-18.87	8.97
183.00	-17.79	10.73	-18.86	8.94
184.00	-17.80	10.69	-18.87	8.91
185.00	-17.79	10.65	-18.87	8.89
186.00	-17.80	10.60	-18.86	8.73
187.00	-17.80	10.56	-18.86	8.72
188.00	-17.80	10.50	-18.87	8.69
189.00	-17.81	10.47	-18.86	8.66
190.00	-17.81	10.39	-18.85	8.61
191.00	-17.81	10.37	-18.86	8.60
192.00	-17.81	10.33	-18.86	8.57
193.00	-17.80	10.30	-18.86	8.55
194.00	-17.82	10.21	-18.87	8.50
195.00	-17.82	10.18	-18.86	8.49
196.00	-17.82	10.11	-18.86	8.46
197.00	-17.82	10.10	-18.87	8.44
198.00	-17.82	10.06	-18.86	8.38
199.00	-17.82	9.93	-18.85	8.34
200.00	-17.83	9.85	-18.85	8.33
201.00	-17.81	9.69	-18.85	8.28
202.00	-17.83	9.65	-18.84	8.25
203.00	-17.82	9.65	-18.84	8.19
204.00	-17.83	9.66	-18.84	8.13
205.00	-17.85	9.57	-18.83	8.08
206.00	-17.84	9.51	-18.82	8.06
207.00	-17.84	9.50	-18.81	8.01
208.00	-17.84	9.49	-18.81	8.01
209.00	-17.84	9.51	-18.81	7.95
210.00	-17.85	9.51	-18.81	7.93
211.00	-17.84	9.49	-18.81	7.89
212.00	-17.85	9.45	-18.80	7.84
213.00	-17.85	9.43	-18.81	7.82
214.00	-17.84	9.39	-18.80	7.76
215.00	-17.85	9.35	-18.81	7.75
216.00	-17.85	9.30	-18.81	7.59
217.00	-17.87	9.26	-18.80	7.58
218.00	-17.86	9.23	-18.81	7.54
219.00	-17.85	9.20	-18.81	7.52
220.00	-17.86	9.15	-18.81	7.48
221.00	-17.87	9.13	-18.82	7.46
222.00	-17.87	9.08	-18.82	7.45
223.00	-17.87	9.06	-18.83	7.44
224.00	-17.86	9.00	-18.82	7.40
225.00	-17.86	8.94	-18.83	7.36
226.00	-17.86	8.92	-18.83	7.33
227.00	-17.87	8.88	-18.83	7.29
228.00	-17.87	8.86	-18.82	7.26
229.00	-17.88	8.80	-18.83	7.21
230.00	-17.87	8.78	-18.83	7.18
231.00	-17.87	8.74	-18.83	7.09
232.00	-17.87	8.70	-18.84	7.08
233.00	-17.87	8.65	-18.84	7.03
234.00	-17.88	8.60	-18.84	6.99
235.00	-17.88	8.54	-18.83	6.85
236.00	-17.87	8.50	-18.83	6.76
237.00	-17.89	8.45	-18.83	6.55
238.00	-17.88	8.35	-18.83	6.35
239.00	-17.90	8.28	-18.84	6.33
240.00	-17.89	8.24	-18.83	6.39
241.00	-17.90	8.22	-18.83	6.44
242.00	-17.89	8.17	-18.84	6.50
243.00	-17.90	8.15	-18.84	6.49
244.00	-17.90	8.11	-18.84	6.45
245.00	-17.90	8.11	-18.84	6.44
246.00	-17.89	8.11	-18.83	6.46
247.00	-17.91	8.10	-18.84	6.47
248.00	-17.90	8.07	-18.84	6.46
249.00	-17.90	8.03	-18.84	6.44
250.00	-17.91	8.02	-18.85	6.41
251.00	-17.91	7.97	-18.84	6.36
252.00	-17.90	7.95	-18.84	6.34
253.00	-17.91	7.90	-18.84	6.29
254.00	-17.92	7.86	-18.86	6.28
255.00	-17.92	7.83	-18.85	6.25
256.00	-17.92	7.80	-18.84	6.23
257.00	-17.92	7.77	-18.86	6.19
258.00	-17.92	7.74	-18.85	6.11
259.00	-17.92	7.68	-18.85	5.95
260.00	-17.92	7.64	-18.85	5.94
261.00	-17.94	7.62	-18.85	5.92
262.00	-17.92	7.57	-18.87	5.87
263.00	-17.93	7.55	-18.86	5.86
264.00	-17.92	7.50	-18.85	5.86
265.00	-17.93	7.48	-18.86	5.85
266.00	-17.93	7.42	-18.86	5.79
267.00	-17.94	7.41	-18.85	5.74
268.00	-17.94	7.36	-18.86	5.63
269.00	-17.95	7.31	-18.86	5.60
270.00	-17.93	7.29	-18.86	5.60
271.00	-17.94	7.26	-18.85	5.62
272.00	-17.93	7.21	-18.86	5.60
273.00	-17.95	7.15	-18.86	5.56
274.00	-17.95	7.13	-18.86	5.55
275.00	-17.94	7.09	-18.86	5.51
276.00	-17.94	7.07	-18.86	5.48
277.00	-17.94	7.01	-18.86	5.45
278.00	-17.94	6.99	-18.86	5.42
279.00	-17.95	6.95	-18.86	5.38
280.00	-17.95	6.92	-18.87	5.34
281.00	-17.95	6.90	-18.86	5.32
282.00	-17.95	6.85	-18.85	5.26
283.00	-17.95	6.83	-18.86	5.23
284.00	-17.96	6.80	-18.86	5.18
285.00	-17.95	6.77	-18.87	5.15
286.00	-17.96	6.72	-18.87	5.10
287.00	-17.96	6.71	-18.86	5.09
288.00	-17.95	6.66	-18.86	5.05
289.00	-17.97	6.62	-18.87	5.00
290.00	-17.97	6.60	-18.85	4.96
291.00	-17.97	6.55	-18.87	4.87
292.00	-17.97	6.53	-18.86	4.84
293.00	-17.97	6.47	-18.86	4.83
294.00	-17.97	6.45	-18.86	4.82
295.00	-17.97	6.42	-18.88	4.77
296.00	-17.97	6.39	-18.86	4.74
297.00	-17.98	6.35	-18.87	4.69
298.00	-17.98	6.32	-18.87	4.66
299.00	-17.98	6.29	-18.86	4.65
300.00	-17.97	6.25	-18.86	4.62
301.00	-17.98	6.24	-18.86	4.61
302.00	-17.98	6.18	-18.87	4.56
303.00	-17.98	6.16	-18.86	4.55
304.00	-17.99	6.12	-18.87	4.51
305.00	-18.00	6.11	-18.87	4.51
306.00	-17.99	6.06	-18.87	4.44
307.00	-17.99	6.02	-18.86	4.41
308.00	-17.99	5.99	-18.87	4.40
309.00	-17.98	5.95	-18.87	4.38
310.00	-18.00	5.93	-18.87	4.35
311.00	-18.00	5.89	-18.87	4.30
312.00	-17.99	5.88	-18.87	4.28
313.00	-18.00	5.83	-18.86	4.22
314.00	-18.00	5.81	-18.85	4.20
315.00	-18.00	5.77	-18.85	4.15
316.00	-18.01	5.73	-18.86	4.08
317.00	-18.00	5.72	-18.87	4.05
318.00	-18.01	5.67	-18.86	3.99
319.00	-18.01	5.65	-18.86	3.96
320.00	-18.01	5.61	-18.87	3.91
321.00	-18.01	5.58	-18.87	3.88
322.00	-18.01	5.55	-18.86	3.85
323.00	-18.01	5.52	-18.85	3.82
324.00	-18.01	5.49	-18.87	3.79
325.00	-18.02	5.43	-18.86	3.76
326.00	-18.01	5.41	-18.86	3.73
327.00	-18.03	5.38	-18.85	3.70
328.00	-18.03	5.36	-18.85	3.69
329.00	-18.02	5.34	-18.86	3.63
330.00	-18.02	5.31	-18.86	3.59
331.00	-18.03	5.28	-18.86	3.55
332.00	-18.03	5.25	-18.84	3.54
333.00	-18.02	5.21	-18.85	3.51
334.00	-18.03	5.17	-18.85	3.48
335.00	-18.02	5.14	-18.84	3.45
336.00	-18.03	5.11	-18.84	3.41
337.00	-18.03	5.09	-18.84	3.39
338.00	-18.04	5.05	-18.84	3.34
339.00	-18.03	5.03	-18.84	3.31
340.00	-18.04	4.99	-18.83	3.27
341.00	-18.03	4.97	-18.84	3.24
342.00	-18.04	4.95	-18.83	3.22
343.00	-18.04	4.89	-18.84	3.16
344.00	-18.05	4.87	-18.85	3.15
345.00	-18.04	4.83	-18.83	3.13
346.00	-18.04	4.82	-18.84	3.11
347.00	-18.05	4.76	-18.84	3.07
348.00	-18.05	4.74	-18.83	3.05
349.00	-18.05	4.71	-18.82	3.02
350.00	-18.05	4.63	-18.83	2.95
351.00	-18.06	4.63	-18.83	2.94
352.00	-18.06	4.60	-18.82	2.90
353.00	-18.05	4.59	-18.83	2.89
354.00	-18.06	4.55	-18.83	2.86
355.00	-18.06	4.55	-18.82	2.84
356.00	-18.06	4.51	-18.83	2.79
357.00	-18.07	4.51	-18.83	2.79
358.00	-18.08	4.48	-18.82	2.73
359.00	-18.07	4.44	-18.82	2.69
360.00	-18.08	4.42	-18.82	2.68
361.00	-18.07	4.38	-18.82	2.66
362.00	-18.07	4.37	-18.82	2.64
363.00	-18.07	4.33	-18.81	2.61
364.00	-18.08	4.31	-18.82	2.60
365.00	-18.07	4.26	-18.82	2.53
366.00	-18.08	4.23	-18.81	2.48
367.00	-18.07	4.21	-18.82	2.46
368.00	-18.07	4.17	-18.80	2.44
369.00	-18.08	4.16	-18.82	2.43
370.00	-18.08	4.11	-18.81	2.38
371.00	-18.09	4.10	-18.81	2.36
372.00	-18.08	4.06	-18.81	2.35
373.00	-18.09	4.04	-18.82	2.31
374.00	-18.09	4.02	-18.81	2.26
375.00	-18.10	3.98	-18.81	2.22
376.00	-18.11	3.97	-18.80	2.21
377.00	-18.10	3.93	-18.80	2.17
378.00	-18.10	3.90	-18.80	2.15
379.00	-18.10	3.86	-18.81	2.12
380.00	-18.10	3.85	-18.81	2.11
381.00	-18.10	3.82	-18.79	2.09
382.00	-18.11	3.79	-18.80	2.05
383.00	-18.11	3.76	-18.81	2.04
384.00	-18.11	3.74	-18.80	2.01
385.00	-18.11	3.71	-18.80	1.98
386.00	-18.11	3.69	-18.80	1.94
387.00	-18.11	3.66	-18.79	1.92
388.00	-18.13	3.63	-18.80	1.87
389.00	-18.12	3.61	-18.80	1.82
390.00	-18.13	3.58	-18.78	1.80
391.00	-18.11	3.56	-18.79	1.75
392.00	-18.12	3.53	-18.79	1.74
393.00	-18.11	3.50	-18.79	1.70
394.00	-18.13	3.48	-18.79	1.67
395.00	-18.13	3.44	-18.79	1.64
396.00	-18.13	3.41	-18.80	1.59
397.00	-18.12	3.39	-18.79	1.58
398.00	-18.13	3.37	-18.78	1.57
399.00	-18.13	3.34	-18.79	1.54
400.00	-18.13	3.31	-18.78	1.50
401.00	-18.12	3.30	-18.79	1.49
402.00	-18.13	3.27	-18.79	1.45
403.00	-18.14	3.25	-18.79	1.43
404.00	-18.14	3.21	-18.79	1.40
405.00	-18.14	3.19	-18.79	1.33
406.00	-18.14	3.16	-18.79	1.31
407.00	-18.13	3.12	-18.79	1.29
408.00	-18.14	3.11	-18.78	1.28
409.00	-18.14	3.09	-18.79	1.23
410.00	-18.15	3.07	-18.79	1.22
411.00	-18.14	3.04	-18.78	1.16
412.00	-18.14	2.99	-18.77	1.10
413.00	-18.15	2.98	-18.79	1.07
414.00	-18.15	2.95	-18.79	0.94
415.00	-18.15	2.94	-18.79	0.93
416.00	-18.15	2.89	-18.77	0.91
417.00	-18.15	2.88	-18.78	0.88
418.00	-18.15	2.83	-18.78	0.76
419.00	-18.16	2.82	-18.77	0.72
420.00	-18.16	2.81	-18.76	0.71
421.00	-18.15	2.80	-18.75	0.72
422.00	-18.15	2.78	-18.77	0.71
423.00	-18.16	2.74	-18.79	0.61
424.00	-18.16	2.71	-18.77	0.57
425.00	-18.17	2.69	-18.77	0.55
426.00	-18.16	2.67	-18.76	0.59
427.00	-18.17	2.65	-18.77	0.62
428.00	-18.16	2.62	-18.77	0.68
429.00	-18.17	2.60	-18.76	0.67
430.00	-18.17	2.57	-18.76	0.64
431.00	-18.17	2.54	-18.74	0.64
432.00	-18.18	2.51	-18.75	0.64
433.00	-18.18	2.49	-18.75	0.64
434.00	-18.17	2.46	-18.75	0.54
435.00	-18.17	2.44	-18.75	0.47
436.00	-18.18	2.43	-18.75	0.47
437.00	-18.18	2.39	-18.75	0.39
438.00	-18.18	2.37	-18.74	0.39
439.00	-18.17	2.34	-18.74	0.42
440.00	-18.19	2.33	-18.75	0.41
441.00	-18.18	2.31	-18.74	0.40
442.00	-18.19	2.27	-18.74	0.38
443.00	-18.19	2.25	-18.75	0.37
444.00	-18.18	2.21	-18.74	0.36
445.00	-18.18	2.18	-18.74	0.34
446.00	-18.19	2.13	-18.74	0.31
447.00	-18.19	2.10	-18.73	0.29
448.00	-18.19	2.07	-18.74	0.27
449.00	-18.19	2.05	-18.74	0.25
450.00	-18.20	2.05	-18.74	0.22
451.00	-18.19	2.04	-18.74	0.20
452.00	-18.19	2.03	-18.74	0.18
453.00	-18.20	1.99	-18.74	0.15
454.00	-18.19	1.99	-18.74	0.13
455.00	-18.19	1.96	-18.74	0.10
456.00	-18.21	1.95	-18.74	0.08
457.00	-18.20	1.91	-18.73	0.07
458.00	-18.21	1.87	-18.73	0.06
459.00	-18.21	1.85	-18.72	0.04
460.00	-18.21	1.84	-18.72	-0.01
461.00	-18.21	1.82	-18.74	-0.01
462.00	-18.22	1.78	-18.73	-0.06
463.00	-18.21	1.77	-18.73	-0.07
464.00	-18.22	1.74	-18.72	-0.11
465.00	-18.21	1.73	-18.73	-0.09
466.00	-18.21	1.69	-18.73	-0.13
467.00	-18.21	1.67	-18.73	-0.18
468.00	-18.21	1.66	-18.72	-0.17
469.00	-18.21	1.63	-18.72	-0.18
470.00	-18.22	1.62	-18.72	-0.20
471.00	-18.22	1.59	-18.73	-0.21
472.00	-18.23	1.57	-18.73	-0.25
473.00	-18.22	1.55	-18.71	-0.27
474.00	-18.23	1.51	-18.72	-0.29
475.00	-18.22	1.51	-18.72	-0.28
476.00	-18.23	1.47	-18.70	-0.32
477.00	-18.22	1.46	-18.72	-0.34
478.00	-18.22	1.42	-18.71	-0.33
479.00	-18.23	1.41	-18.71	-0.32
480.00	-18.24	1.39	-18.71	-0.29
481.00	-18.23	1.36	-18.70	-0.23
482.00	-18.23	1.34	-18.70	-0.20
483.00	-18.24	1.31	-18.71	-0.13
484.00	-18.23	1.30	-18.71	-0.10
485.00	-18.23	1.25	-18.70	-0.05
486.00	-18.24	1.24	-18.70	-0.02
487.00	-18.24	1.21	-18.70	0.01
488.00	-18.23	1.20	-18.70	0.02
489.00	-18.25	1.17	-18.69	0.04
490.00	-18.24	1.14	-18.70	0.08
491.00	-18.23	1.13	-18.69	0.07
492.00	-18.25	1.10	-18.69	0.09
493.00	-18.24	1.10	-18.70	0.08
494.00	-18.24	1.07	-18.69	0.11
495.00	-18.26	1.05	-18.69	0.10
496.00	-18.23	1.02	-18.69	0.11
497.00	-18.25	0.99	-18.68	0.11
498.00	-18.26	0.97	-18.68	0.11
499.00	-18.25	0.95	-18.69	0.10
500.00	-18.25	0.92	-18.69	0.11
501.00	-18.26	0.90	-18.69	0.12
502.00	-18.25	0.90	-18.67	0.11
503.00	-18.26	0.88	-18.67	0.12
504.00	-18.25	0.86	-18.68	0.12
505.00	-18.26	0.82	-18.68	0.11
506.00	-18.26	0.76	-18.68	0.12
507.00	-18.27	0.74	-18.67	0.13
508.00	-18.27	0.72	-18.68	0.12
509.00	-18.26	0.71	-18.67	0.12
510.00	-18.27	0.70	-18.67	0.11
511.00	-18.27	0.68	-18.67	0.12
512.00	-18.27	0.67	-18.68	0.12
513.00	-18.27	0.66	-18.67	0.12
514.00	-18.27	0.65	-18.67	0.12
515.00	-18.28	0.62	-18.67	0.13
516.00	-18.28	0.58	-18.66	0.12
517.00	-18.27	0.51	-18.67	0.12
518.00	-18.27	0.43	-18.66	0.12
519.00	-18.27	0.28	-18.66	0.13
520.00	-18.28	0.20	-18.66	0.12
521.00	-18.27	0.16	-18.66	0.12
522.00	-18.28	0.19	-18.66	0.13
523.00	-18.29	0.22	-18.66	0.12
524.00	-18.27	0.26	-18.66	0.12
525.00	-18.28	0.28	-18.66	0.12
526.00	-18.29	0.30	-18.66	0.12
527.00	-18.28	0.30	-18.67	0.13
528.00	-18.29	0.31	-18.66	0.12
529.00	-18.29	0.29	-18.66	0.11
530.00	-18.29	0.29	-18.65	0.12
531.00	-18.29	0.27	-18.65	0.11
532.00	-18.30	0.26	-18.65	0.12
533.00	-18.29	0.25	-18.66	0.11
534.00	-18.29	0.22	-18.65	0.11
535.00	-18.30	0.19	-18.66	0.12
536.00	-18.30	0.17	-18.65	0.12
537.00	-18.30	0.15	-18.65	0.13
538.00	-18.31	0.14	-18.65	0.13
539.00	-18.29	0.12	-18.65	0.12
540.00	-18.29	0.10	-18.65	0.12
541.00	-18.29	0.10	-18.65	0.12
542.00	-18.30	0.06	-18.65	0.12
543.00	-18.30	0.05	-18.65	0.12
544.00	-18.30	0.03	-18.65	0.12
545.00	-18.30	0.00	-18.65	0.12
546.00	-18.31	-0.02	-18.65	0.11
547.00	-18.31	-0.04	-18.64	0.11
548.00	-18.31	-0.05	-18.64	0.12
549.00	-18.33	-0.07	-18.64	0.12
550.00	-18.31	-0.08	-18.64	0.12
551.00	-18.31	-0.11	-18.63	0.12
552.00	-18.32	-0.14	-18.65	0.12
553.00	-18.32	-0.15	-18.63	0.12
554.00	-18.32	-0.17	-18.64	0.12
555.00	-18.32	-0.18	-18.63	0.12
556.00	-18.32	-0.20	-18.64	0.13
557.00	-18.31	-0.22	-18.63	0.12
558.00	-18.32	-0.24	-18.64	0.12
559.00	-18.31	-0.26	-18.63	0.12
560.00	-18.33	-0.28	-18.63	0.12
561.00	-18.32	-0.30	-18.63	0.12
562.00	-18.33	-0.31	-18.63	0.12
563.00	-18.32	-0.34	-18.63	0.11
564.00	-18.32	-0.35	-18.63	0.12
565.00	-18.32	-0.38	-18.63	0.12
566.00	-18.33	-0.39	-18.63	0.13
567.00	-18.34	-0.41	-18.63	0.13
568.00	-18.33	-0.43	-18.62	0.12
569.00	-18.34	-0.44	-18.62	0.12
570.00	-18.33	-0.46	-18.63	0.12
571.00	-18.34	-0.47	-18.63	0.12
572.00	-18.34	-0.49	-18.63	0.12
573.00	-18.34	-0.51	-18.62	0.13
574.00	-18.34	-0.53	-18.61	0.13
575.00	-18.33	-0.56	-18.62	0.12
576.00	-18.34	-0.62	-18.62	0.12
577.00	-18.34	-0.63	-18.61	0.12
578.00	-18.34	-0.63	-18.62	0.12
579.00	-18.35	-0.65	-18.63	0.12
580.00	-18.34	-0.67	-18.62	0.12
581.00	-18.34	-0.76	-18.61	0.12
582.00	-18.35	-0.83	-18.63	0.12
583.00	-18.35	-0.84	-18.61	0.13
584.00	-18.35	-0.82	-18.62	0.12
585.00	-18.35	-0.81	-18.62	0.12
586.00	-18.35	-0.79	-18.61	0.11
587.00	-18.35	-0.78	-18.61	0.12
588.00	-18.34	-0.76	-18.61	0.12
589.00	-18.34	-0.74	-18.62	0.11
590.00	-18.35	-0.74	-18.61	0.11
591.00	-18.36	-0.74	-18.61	0.12
592.00	-18.35	-0.75	-18.61	0.12
593.00	-18.35	-0.78	-18.61	0.11
594.00	-18.36	-0.80	-18.60	0.12
595.00	-18.37	-0.78	-18.60	0.13
596.00	-18.35	-0.79	-18.61	0.12
597.00	-18.37	-0.91	-18.60	0.11
598.00	-18.37	-1.02	-18.60	0.11
599.00	-18.37	-0.97	-18.60	0.12
600.00	-18.36	-0.87	-18.61	0.12
601.00	-18.36	-0.85	-18.61	0.11
602.00	-18.36	-0.82	-18.59	0.12
603.00	-18.36	-0.81	-18.60	0.12
604.00	-18.37	-0.77	-18.61	0.12
605.00	-18.38	-0.76	-18.60	0.11
606.00	-18.38	-0.77	-18.60	0.12
607.00	-18.37	-0.77	-18.60	0.12
608.00	-18.37	-0.74	-18.60	0.11
609.00	-18.37	-0.71	-18.60	0.11
610.00	-18.37	-0.70	-18.59	0.12
611.00	-18.37	-0.69	-18.60	0.11
612.00	-18.37	-0.68	-18.60	0.12
613.00	-18.38	-0.67	-18.60	0.12
614.00	-18.38	-0.67	-18.60	0.12
615.00	-18.38	-0.65	-18.60	0.12
616.00	-18.37	-0.65	-18.61	0.11
617.00	-18.39	-0.64	-18.59	0.11
618.00	-18.39	-0.64	-18.59	0.11
619.00	-18.39	-0.64	-18.61	0.12
620.00	-18.39	-0.65	-18.59	0.11
621.00	-18.39	-0.65	-18.60	0.12
622.00	-18.38	-0.64	-18.59	0.12
623.00	-18.39	-0.61	-18.59	0.12
624.00	-18.39	-0.60	-18.60	0.12
625.00	-18.39	-0.59	-18.60	0.12
